CODGEO,NOM_COMMUNE,POPULATION,DEP,REG
77270,Maisoncelles-en-Brie,977,77,11
77271,Maisoncelles-en-Gâtinais,141,77,11
77272,Maison-Rouge,880,77,11
77273,Marchémoret,659,77,11
77274,Marcilly,489,77,11
77275,Les Marêts,152,77,11
77276,Mareuil-lès-Meaux,3345,77,11
77277,Marles-en-Brie,1898,77,11
77278,Marolles-en-Brie,412,77,11
77279,Marolles-sur-Seine,1774,77,11
77280,Mary-sur-Marne,1155,77,11
77281,Mauperthuis,495,77,11
77282,Mauregard,341,77,11
77283,May-en-Multien,877,77,11
77284,Meaux,56905,77,11
77285,Le Mée-sur-Seine,19527,77,11
77286,Meigneux,236,77,11
77287,Meilleray,504,77,11
77288,Melun,45995,77,11
77289,Melz-sur-Seine,345,77,11
77290,Méry-sur-Marne,679,77,11
77291,Le Mesnil-Amelot,992,77,11
77292,Messy,1219,77,11
77293,Misy-sur-Yonne,834,77,11
77294,Mitry-Mory,20456,77,11
77295,Moisenay,1362,77,11
77296,Moissy-Cramayel,18511,77,11
77297,Mondreville,334,77,11
77298,Mons-en-Montois,454,77,11
77300,Montceaux-lès-Meaux,669,77,11
77301,Montceaux-lès-Provins,320,77,11
77302,Moncourt-Fromonville,1891,77,11
77303,Montdauphin,235,77,11
77304,Montenils,34,77,11
77305,Montereau-Fault-Yonne,22279,77,11
77306,Montereau-sur-le-Jard,499,77,11
77307,Montévrain,15687,77,11
77308,Montgé-en-Goële,717,77,11
77309,Monthyon,1756,77,11
77310,Montigny-le-Guesdier,295,77,11
77311,Montigny-Lencoup,1358,77,11
77312,Montigny-sur-Loing,2669,77,11
77313,Montmachoux,213,77,11
77314,Montolivet,257,77,11
77315,Montry,3945,77,11
77316,Moret-Loing-et-Orvanne,12810,77,11
77317,Mormant,5282,77,11
77318,Mortcerf,1400,77,11
77319,Mortery,137,77,11
77320,Mouroux,5810,77,11
77321,Mousseaux-lès-Bray,682,77,11
77322,Moussy-le-Neuf,3253,77,11
77323,Moussy-le-Vieux,1469,77,11
77325,Mouy-sur-Seine,353,77,11
77326,Nandy,6350,77,11
77327,Nangis,8867,77,11
77328,Nanteau-sur-Essonne,414,77,11
77329,Nanteau-sur-Lunain,702,77,11
77330,Nanteuil-lès-Meaux,7308,77,11
77331,Nanteuil-sur-Marne,406,77,11
77332,Nantouillet,302,77,11
77333,Nemours,12889,77,11
77335,Chauconin-Neufmontiers,3784,77,11
77336,Neufmoutiers-en-Brie,1338,77,11
77337,Noisiel,16053,77,11
77338,Noisy-Rudignon,580,77,11
77339,Noisy-sur-École,1797,77,11
77340,Nonville,591,77,11
77341,Noyen-sur-Seine,369,77,11
77342,Obsonville,126,77,11
77343,Ocquerre,378,77,11
77344,Oissery,2496,77,11
77345,Orly-sur-Morin,656,77,11
77347,Les Ormes-sur-Voulzie,864,77,11
77348,Ormesson,242,77,11
77349,Othis,6717,77,11
77350,Ozoir-la-Ferrière,21238,77,11
77352,Ozouer-le-Voulgis,2050,77,11
77353,Paley,483,77,11
77354,Pamfou,983,77,11
77355,Paroy,187,77,11
77356,Passy-sur-Seine,49,77,11
77357,Pécy,849,77,11
77358,Penchard,1373,77,11
77359,Perthes,2073,77,11
77360,Pézarches,410,77,11
77361,Pierre-Levée,480,77,11
77363,Le Pin,1530,77,11
77364,Le Plessis-aux-Bois,261,77,11
77365,Le Plessis-Feu-Aussoux,597,77,11
77366,Le Plessis-l'Évêque,291,77,11
77367,Le Plessis-Placy,305,77,11
77368,Poigny,501,77,11
77369,Poincy,797,77,11
77370,Poligny,825,77,11
77371,Pommeuse,3049,77,11
77372,Pomponne,4215,77,11
77373,Pontault-Combault,39096,77,11
77374,Pontcarré,2136,77,11
77376,Précy-sur-Marne,747,77,11
77377,Presles-en-Brie,2369,77,11
77378,Pringy,3864,77,11
77379,Provins,11632,77,11
77380,Puisieux,317,77,11
77381,Quiers,650,77,11
77382,Quincy-Voisins,5547,77,11
77383,Rampillon,836,77,11
77384,Réau,2127,77,11
77385,Rebais,2294,77,11
77386,Recloses,633,77,11
77387,Remauville,449,77,11
77388,Reuil-en-Brie,798,77,11
77389,La Rochette,3932,77,11
77390,Roissy-en-Brie,23229,77,11
77391,Rouilly,496,77,11
77392,Rouvres,1038,77,11
77393,Rozay-en-Brie,2860,77,11
77394,Rubelles,3537,77,11
77395,Rumont,125,77,11
77396,Rupéreux,106,77,11
77397,Saâcy-sur-Marne,1878,77,11
77398,Sablonnières,791,77,11
77400,Saint-Augustin,1888,77,11
77401,Sainte-Aulde,706,77,11
77402,Saint-Barthélemy,335,77,11
77403,Saint-Brice,819,77,11
77404,Sainte-Colombe,1781,77,11
77405,Saint-Cyr-sur-Morin,1976,77,11
